,movie_id,title,tags
56,57.0,다크 나이트 라이즈,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. dc comics crime fighter terrorist secret identity burglar hostage fight time bomb vigilante cover-up superhero based on comic villainess tragic hero mobile terrorism destruction fighting criminal underworld catwoman cat burglar flood 드라마 액션 스릴러 범죄 Gary Oldman Morgan Freeman Anne Hathaway Tom Hardy Christian Bale Michael Caine Joseph Gordon-Levitt Juno Temple Christopher Nolan"
57,58.0,그린 랜턴: 반지의 선택,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited. dc comics transformation superhero based on comic alien alien infection magical object protector based on graphic novel super power origin 모험 액션 스릴러 SF Peter Sarsgaard Tim Robbins Ryan Reynolds Blake Lively Martin Campbell"
58,59.0,다크 나이트,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. dc comics crime fighter secret identity anti hero scarecrow sadism chaos vigilante joker superhero based on comic tragic hero organized crime anti villain criminal mastermind district attorney super power super villain neo-noir 드라마 액션 스릴러 범죄 Maggie Gyllenhaal Heath Ledger Christopher Nolan"
59,60.0,수퍼맨 리턴즈,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. saving the world dc comics invulnerability sequel superhero based on comic super power kryptonite superhuman strength 모험 액션 SF Kevin Spacey Kate Bosworth Brandon Routh Bryan Singer"
60,61.0,배트맨 비긴즈,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman. loss of loved one martial arts dc comics crime fighter secret identity undercover vigilante superhero based on comic rivalry tragic hero ninja super power haunted by the past evil doctor master villain unfulfilled love 드라마 액션 범죄 Gary Oldman Cillian Murphy Christopher Nolan"
61,62.0,캣우먼,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail. white russian dc comics beauty sexism basketball vigilante superhero based on comic female protagonist evil corporation catwoman urban setting super villain masked superhero cat lady vigilante justice 판타지 액션 범죄 미스터리 Lambert Wilson Sharon Stone Halle Berry Benjamin Bratt Pitof"
62,63.0,배트맨 앤 로빈,Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City. double life dc comics dual identity crime fighter superhero based on comic credit card super power super villain good versus evil 판타지 액션 SF George Clooney Vivica A. Fox Michael Gough Pat Hingle John Glover Elle Macpherson Joel Schumacher
63,64.0,배트맨 포에버,Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat. riddle dc comics rose villain partner superhero based on comic robin broken neck psychologist criminal district attorney millionaire super power falling down stairs tied up tommy gun beretta knocked out disfigurement father figure good versus evil 판타지 액션 범죄 Jim Carrey Tommy Lee Jones Nicole Kidman Val Kilmer Joel Schumacher
64,65.0,배트맨 리턴즈,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman. holiday corruption double life dc comics crime fighter villain hallucination christmas tree vigilante superhero based on comic revenge dark hero super power super villain deformed bird cage evil circus christmas good versus evil 판타지 액션 Danny DeVito Michelle Pfeiffer Michael Gough Christopher Walken Tim Burton"
65,66.0,배트맨,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld. double life dc comics dual identity chemical crime fighter villain superhero based on comic organized crime mobster criminal super power madness good versus evil 판타지 액션 Kim Basinger Jack Nicholson Michael Keaton Michael Gough Pat Hingle Billy Dee Williams Tim Burton"
